n,Passages,Retriever,MRR@10,Avg ms/query
1000,9992,BM25,0.4429,1.328
1000,9992,TF-IDF,0.3897,2.242
1000,9992,Dense,0.6281,5.701
1000,9992,Hybrid,0.5761,13.364
5000,49896,BM25,0.4243,9.896
5000,49896,TF-IDF,0.3446,16.731
5000,49896,Dense,0.614,9.069
5000,49896,Hybrid,0.5675,40.688
10000,99736,BM25,0.3986,21.996
10000,99736,TF-IDF,0.31,35.047
10000,99736,Dense,0.6012,12.439
10000,99736,Hybrid,0.5564,69.469
50000,498725,BM25,0.3439,131.315
50000,498725,TF-IDF,0.2424,196.302
50000,498725,Dense,0.5363,38.539
50000,498725,Hybrid,0.4949,384.498
100000,997459,BM25,0.3164,282.792
100000,997459,TF-IDF,0.2116,421.259
100000,997459,Dense,0.494,77.057
100000,997459,Hybrid,0.4457,744.053
